_id,url,title,image_path,image_url,last_update,product_id,description_items,price,price_real,price_discount,off_percent,categories,main_category,category,subcategory
665a554723eec9aaf5f78a04,https://us.shein.com/3pcs-Set-Pet-Ticks-Remover-Tool-Flea-Removal-Hook-Pet-Grooming-Tool-For-Dogs-And-Cats-p-28915446.html,"3pcs/Set Pet Ticks Remover Tool, Flea Removal Hook, Pet Grooming Tool For Dogs And Cats",img/products/170468136706aa4b5108daab8adedf5ec409ab155f_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/01/08/b6/170468136706aa4b5108daab8adedf5ec409ab155f_thumbnail_220x293.webp,2024-05-31 19:55:03.206,sp2401084365188088,"{'color': 'green', 'pattern type': 'colorblock, plain', 'material': 'pp', 'applicable pet': 'cat/dog'}","$0.52
$1.70
-69%",1.7,0.52,-69.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Cleaning Accessories', '3pcs']",Pet Supplies,Pet Cleaning,Pet Cleaning Accessories
665a555123eec9aaf5f78a0e,https://us.shein.com/1pc-Light-Blue-Pet-Flower-Pendant-Collar-Adjustable-Cat-Face-Safety-Buckle-With-Anti-Choking-Bell-Necklace-p-27541756.html,"1pc Light Blue Pet Flower Pendant Collar, Adjustable Cat Face Safety Buckle With Anti-Choking Bell Necklace",img/products/1701974299630d00368d2cc17df82217caaa248518_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/12/08/a8/1701974299630d00368d2cc17df82217caaa248518_thumbnail_220x293.webp,2024-05-31 19:55:13.855,sp2312083110425665,"{'color': 'baby blue', 'material': 'polyester', 'applicable pet': 'cat'}","$0.52
$1.70
-69%",1.7,0.52,-69.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a557b23eec9aaf5f78a4b,https://us.shein.com/1Pc-Cat-Self-Groomer-Wall-Corner-Grooming-Brush-Comfortable-Cats-Massage-Comb-for-All-Long-and-Short-Hair-Cats-p-21981255.html,"1Pc Cat Self Groomer, Wall Corner Grooming Brush, Comfortable Cats Massage Comb for All Long and Short Hair Cats",img/products/169269719261cfb6e1a99bf1572dfa8cf80fdcc597.webp,https://img.ltwebstatic.com/images3_spmp/2023/08/22/24/169269719261cfb6e1a99bf1572dfa8cf80fdcc597.webp,2024-05-31 19:55:55.048,sp2308224188628223,"{'color': 'grey', 'material': 'pp', 'applicable pet': 'cat/dog'}","From
$0.52
$2.10
-75%",2.1,0.52,-75.0,"['Pet Supplies', 'Pet Grooming', 'Pet Grooming Tools', 'Pet Hair Combs & Brushes']",Pet Supplies,Pet Grooming,Pet Grooming Tools
665a563d23eec9aaf5f78b48,https://us.shein.com/1pc-3pcs-5pcs-10pcs-15pcs-Random-Color-Paw-Print-Pattern-Bell-Adjustable-Size-Pet-Collar-With-Leash-Suitable-For-Cats-And-Dogs-p-31993524.html,"1pc/3pcs/5pcs/10pcs/15pcs Random Color Paw Print Pattern Bell Adjustable Size Pet Collar With Leash, Suitable For Cats And Dogs",img/products/1710921164bcaca31a720a8ba5c30dd6b625ecbe4c.webp,https://img.ltwebstatic.com/images3_spmp/2024/03/20/62/1710921164bcaca31a720a8ba5c30dd6b625ecbe4c.webp,2024-05-31 19:59:09.523,sp2403203255193010,"{'color': 'multicolor', 'material': 'polyester', 'applicable pet': 'cat/dog'}","From
$0.54
$1.90
-72%",1.9,0.54,-72.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars', '1pc', '3pcs', '5pcs', '10pcs']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a56c523eec9aaf5f78b9e,https://us.shein.com/1pc-Pet-Food-Spoon-Can-Opener-For-Dogs-Cats-Random-Color-p-31749669.html,"1pc Pet Food Spoon Can Opener For Dogs & Cats, Random Color",img/products/171057280672af860d7225380c177bce141b44aaa0_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/03/16/3e/171057280672af860d7225380c177bce141b44aaa0_thumbnail_220x293.webp,2024-05-31 20:01:25.503,sp2403161187068441,"{'color': 'multicolor', 'power supply': 'none', 'material': 'plastic', 'applicable pet': 'cat/dog'}","$0.56
$1.40
-60%",1.4,0.56,-60.0,"['Pet Supplies', 'Pet Bowls & Feeders', 'Pet Feeders']",Pet Supplies,Pet Bowls & Feeders,Pet Feeders
665a56dc23eec9aaf5f78ba4,https://us.shein.com/1-2-3pcs-Dog-Waste-Bag-Dispenser-With-Random-Color-Hands-Free-Hanging-Holder-For-Outdoor-Dog-Walking-Dog-Accessories-p-26353204.html,"1/2/3pcs Dog Waste Bag Dispenser With Random Color Hands-Free Hanging Holder For Outdoor Dog Walking, Dog Accessories",img/products/17167965856c08bfaa80928b2ed1f155aeb5cc326b.webp,https://img.ltwebstatic.com/images3_spmp/2024/05/27/98/17167965856c08bfaa80928b2ed1f155aeb5cc326b.webp,2024-05-31 20:01:48.458,sp2311106964714435,"{'color': 'multicolor', 'material': 'pe', 'applicable pet': 'dog'}","From
$0.56
$1.60
-65%",1.6,0.56,-65.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Poopbags', '1', '2']",Pet Supplies,Pet Cleaning,Pet Poopbags
665a573023eec9aaf5f78c20,https://us.shein.com/1pc-Pet-Collar-With-Adjustable-Strap-Removable-Bell-Suitable-For-Female-male-Cats-p-24186449.html,"1pc Pet Collar With Adjustable Strap, Removable Bell, Suitable For Female/male Cats",img/products/16960892703f286eebf622e93a991ebd00896efe31_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/09/30/fa/16960892703f286eebf622e93a991ebd00896efe31_thumbnail_220x293.webp,2024-05-31 20:03:12.964,sp2309309285832281,"{'color': 'hot pink', 'material': 'polyester', 'applicable pet': 'cat/dog'}","$0.56
$1.30
-57%",1.3,0.56,-57.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars', '1pc Pet Collar With Adjustable Strap, Removable Bell, Suitable For Female']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a580423eec9aaf5f78ced,https://us.shein.com/10pcs-Clear-Aquarium-Oxygen-Tube-Fixing-Suction-Cup-p-15245433.html,10pcs Clear Aquarium Oxygen Tube Fixing Suction Cup,img/products/16823241770098e50dafcaf2e0c01dfcf7e6006cdb_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_pi/2023/04/24/16823241770098e50dafcaf2e0c01dfcf7e6006cdb_thumbnail_220x293.webp,2024-05-31 20:06:44.755,sp2304241216149002,"{'color': 'multicolor', 'applicable pet': 'fish', 'material': 'polyresin'}","$0.58
$1.80
-68%",1.8,0.58,-68.0,"['Pet Supplies', 'Fish & Aquarium Supplies', 'Tank & Accessories']",Pet Supplies,Fish & Aquarium Supplies,Tank & Accessories
665a583923eec9aaf5f78d2d,https://us.shein.com/Pet-Spine-Protection-Elevated-Feeding-Bowl-Suitable-For-Cats-And-Dogs-p-28830466.html,"Pet Spine Protection Elevated Feeding Bowl, Suitable For Cats And Dogs",img/products/1704466301bc087709e139d32baeff499080d08861_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/01/05/32/1704466301bc087709e139d32baeff499080d08861_thumbnail_220x293.webp,2024-05-31 20:07:37.462,sp2303101586603103,"{'color': 'pink', 'material': 'pc', 'applicable pet': 'cat/dog'}","$0.60
$2.60
-77%",2.6,0.6,-77.0,"['Pet Supplies', 'Pet Bowls & Feeders', 'Pet Bowls']",Pet Supplies,Pet Bowls & Feeders,Pet Bowls
665a584923eec9aaf5f78d3e,https://us.shein.com/1pc-2pcs-PVC-Corner-Self-Scratching-Massaging-Comb-With-Adhesive-Screw-Cat-Interactive-Toy-Suitable-For-All-Seasons-p-23444416.html,"1pc/2pcs PVC Corner Self-Scratching Massaging Comb With Adhesive Screw, Cat Interactive Toy Suitable For All Seasons",img/products/1697684193b1f14af722d69654702d7f77b8683e48_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/10/19/ba/1697684193b1f14af722d69654702d7f77b8683e48_thumbnail_220x293.webp,2024-05-31 20:07:53.271,sp2306179232496519,"{'color': 'black', 'batteries included': 'no', 'applicable pet': 'cat', 'material': 'pvc', 'power supply': 'none'}","From
$0.60
$2.30
-74%",2.3,0.6,-74.0,"['Pet Supplies', 'Pet Toys', 'Cat Teasers', '1pc']",Pet Supplies,Pet Toys,Cat Teasers
